2022-06-23 00:54:24 configure libhogweed4:amd64 3.3-1+deb9u1 <none>
2022-06-23 00:54:24 status unpacked libhogweed4:amd64 3.3-1+deb9u1
2022-06-23 00:54:24 status half-configured libhogweed4:amd64 3.3-1+deb9u1
2022-06-23 00:54:24 status installed libhogweed4:amd64 3.3-1+deb9u1
2022-06-23 00:54:24 configure libp11-kit0:amd64 0.23.3-2+deb9u1 <none>
2022-06-23 00:54:24 status unpacked libp11-kit0:amd64 0.23.3-2+deb9u1
2022-06-23 00:54:24 status half-configured libp11-kit0:amd64 0.23.3-2+deb9u1
2022-06-23 00:54:24 status installed libp11-kit0:amd64 0.23.3-2+deb9u1
2022-06-23 00:54:24 configure libk5crypto3:amd64 1.15-1+deb9u3 <none>
2022-06-23 00:54:24 status unpacked libk5crypto3:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 status half-configured libk5crypto3:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 status installed libk5crypto3:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 configure libgnutls30:amd64 3.5.8-5+deb9u6 <none>
2022-06-23 00:54:24 status unpacked libgnutls30:amd64 3.5.8-5+deb9u6
2022-06-23 00:54:24 status half-configured libgnutls30:amd64 3.5.8-5+deb9u6
2022-06-23 00:54:24 status installed libgnutls30:amd64 3.5.8-5+deb9u6
2022-06-23 00:54:24 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1 <none>
2022-06-23 00:54:24 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2022-06-23 00:54:24 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2022-06-23 00:54:24 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2022-06-23 00:54:24 configure libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u9 <none>
2022-06-23 00:54:24 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:24 status half-configured libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:24 status installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:24 configure wget:amd64 1.18-5+deb9u3 <none>
2022-06-23 00:54:24 status unpacked wget:amd64 1.18-5+deb9u3
2022-06-23 00:54:24 status unpacked wget:amd64 1.18-5+deb9u3
2022-06-23 00:54:24 status half-configured wget:amd64 1.18-5+deb9u3
2022-06-23 00:54:24 status installed wget:amd64 1.18-5+deb9u3
2022-06-23 00:54:24 configure libkrb5-3:amd64 1.15-1+deb9u3 <none>
2022-06-23 00:54:24 status unpacked libkrb5-3:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 status half-configured libkrb5-3:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 status installed libkrb5-3:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 configure libgssapi-krb5-2:amd64 1.15-1+deb9u3 <none>
2022-06-23 00:54:24 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 status half-configured libgssapi-krb5-2:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 status installed libgssapi-krb5-2:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 configure libcurl3:amd64 7.52.1-5+deb9u16 <none>
2022-06-23 00:54:24 status unpacked libcurl3:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 status half-configured libcurl3:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 status installed libcurl3:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 configure libcurl3-gnutls:amd64 7.52.1-5+deb9u16 <none>
2022-06-23 00:54:24 status unpacked libcurl3-gnutls:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 status half-configured libcurl3-gnutls:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 status installed libcurl3-gnutls:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 configure apt-transport-https:amd64 1.4.11 <none>
2022-06-23 00:54:24 status unpacked apt-transport-https:amd64 1.4.11
2022-06-23 00:54:24 status half-configured apt-transport-https:amd64 1.4.11
2022-06-23 00:54:24 status installed apt-transport-https:amd64 1.4.11
2022-06-23 00:54:24 configure curl:amd64 7.52.1-5+deb9u16 <none>
2022-06-23 00:54:24 status unpacked curl:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 status half-configured curl:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 status installed curl:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2022-06-23 00:54:24 status half-configured libc-bin:amd64 2.24-11+deb9u4
2022-06-23 00:54:24 status installed libc-bin:amd64 2.24-11+deb9u4
2022-06-23 00:54:24 trigproc ca-certificates:all 20200601~deb9u2 <none>
2022-06-23 00:54:24 status half-configured ca-certificates:all 20200601~deb9u2
2022-06-23 00:54:25 status installed ca-certificates:all 20200601~deb9u2
2022-06-23 00:54:29 startup archives unpack
2022-06-23 00:54:29 install libassuan0:amd64 <none> 2.4.3-2
2022-06-23 00:54:29 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2022-06-23 00:54:29 status half-installed libassuan0:amd64 2.4.3-2
2022-06-23 00:54:29 status unpacked libassuan0:amd64 2.4.3-2
2022-06-23 00:54:29 status unpacked libassuan0:amd64 2.4.3-2
2022-06-23 00:54:29 install pinentry-curses:amd64 <none> 1.0.0-2
2022-06-23 00:54:29 status half-installed pinentry-curses:amd64 1.0.0-2
2022-06-23 00:54:29 status unpacked pinentry-curses:amd64 1.0.0-2
2022-06-23 00:54:29 status unpacked pinentry-curses:amd64 1.0.0-2
2022-06-23 00:54:29 install libnpth0:amd64 <none> 1.3-1
2022-06-23 00:54:29 status half-installed libnpth0:amd64 1.3-1
2022-06-23 00:54:29 status unpacked libnpth0:amd64 1.3-1
2022-06-23 00:54:29 status unpacked libnpth0:amd64 1.3-1
2022-06-23 00:54:29 install readline-common:all <none> 7.0-3
2022-06-23 00:54:29 status half-installed readline-common:all 7.0-3
2022-06-23 00:54:29 status unpacked readline-common:all 7.0-3
2022-06-23 00:54:29 status unpacked readline-common:all 7.0-3
2022-06-23 00:54:29 install libreadline7:amd64 <none> 7.0-3
2022-06-23 00:54:29 status half-installed libreadline7:amd64 7.0-3
2022-06-23 00:54:29 status unpacked libreadline7:amd64 7.0-3
2022-06-23 00:54:29 status unpacked libreadline7:amd64 7.0-3
2022-06-23 00:54:29 install gnupg-agent:amd64 <none> 2.1.18-8~deb9u4
2022-06-23 00:54:29 status half-installed gnupg-agent:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 install libksba8:amd64 <none> 1.3.5-2
2022-06-23 00:54:29 status half-installed libksba8:amd64 1.3.5-2
2022-06-23 00:54:29 status unpacked libksba8:amd64 1.3.5-2
2022-06-23 00:54:29 status unpacked libksba8:amd64 1.3.5-2
2022-06-23 00:54:29 install libsqlite3-0:amd64 <none> 3.16.2-5+deb9u3
2022-06-23 00:54:29 status half-installed libsqlite3-0:amd64 3.16.2-5+deb9u3
2022-06-23 00:54:29 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u3
2022-06-23 00:54:29 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u3
2022-06-23 00:54:29 install gnupg:amd64 <none> 2.1.18-8~deb9u4
2022-06-23 00:54:29 status half-installed gnupg:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 status unpacked gnupg:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 status unpacked gnupg:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 install dirmngr:amd64 <none> 2.1.18-8~deb9u4
2022-06-23 00:54:29 status half-installed dirmngr:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 status unpacked dirmngr:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 status unpacked dirmngr:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 startup packages configure
2022-06-23 00:54:29 configure libnpth0:amd64 1.3-1 <none>
2022-06-23 00:54:29 status unpacked libnpth0:amd64 1.3-1
2022-06-23 00:54:29 status half-configured libnpth0:amd64 1.3-1
2022-06-23 00:54:29 status installed libnpth0:amd64 1.3-1
2022-06-23 00:54:29 configure readline-common:all 7.0-3 <none>
2022-06-23 00:54:29 status unpacked readline-common:all 7.0-3
2022-06-23 00:54:29 status half-configured readline-common:all 7.0-3
2022-06-23 00:54:29 status installed readline-common:all 7.0-3
2022-06-23 00:54:29 configure libreadline7:amd64 7.0-3 <none>
2022-06-23 00:54:29 status unpacked libreadline7:amd64 7.0-3
2022-06-23 00:54:29 status half-configured libreadline7:amd64 7.0-3
2022-06-23 00:54:29 status installed libreadline7:amd64 7.0-3
2022-06-23 00:54:29 configure libksba8:amd64 1.3.5-2 <none>
2022-06-23 00:54:29 status unpacked libksba8:amd64 1.3.5-2
2022-06-23 00:54:29 status half-configured libksba8:amd64 1.3.5-2
2022-06-23 00:54:29 status installed libksba8:amd64 1.3.5-2
2022-06-23 00:54:29 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2022-06-23 00:54:29 status half-configured libc-bin:amd64 2.24-11+deb9u4
2022-06-23 00:54:29 status installed libc-bin:amd64 2.24-11+deb9u4
2022-06-23 00:54:29 configure libsqlite3-0:amd64 3.16.2-5+deb9u3 <none>
2022-06-23 00:54:29 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2022-06-23 00:54:29 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u3
2022-06-23 00:54:29 status half-configured libsqlite3-0:amd64 3.16.2-5+deb9u3
2022-06-23 00:54:29 status installed libsqlite3-0:amd64 3.16.2-5+deb9u3
2022-06-23 00:54:29 configure libassuan0:amd64 2.4.3-2 <none>
2022-06-23 00:54:29 status unpacked libassuan0:amd64 2.4.3-2
